name,rating
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,4.7
A Law Student's Toolkit,4.7
AI For Everyone,4.8
AI for Medical Diagnosis,4.6
AI for Medical Prognosis,4.7
AWS Fundamentals: Addressing Security Risk,4.2
AWS Fundamentals: Going Cloud-Native,4.7
Aboriginal Worldviews and Education,4.6
Access Controls,4.6
Accounting Analytics,4.4
Accounting Data Analytics with Python,3.5
Actualización en el manejo del paciente con diabetes mellitus tipo 2,4.9
Addiction Treatment: Clinical Skills for Healthcare Providers,4.9
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",4.6
Advertising and Society,4.8
Agile Meets Design Thinking,4.8
Agile with Atlassian Jira,4.7
Agile и Scrum в работе над проектами и продуктами,4.7
Algorithmic Toolbox,4.5
American Contract Law I,4.8
An Introduction to American Law,4.9
An Introduction to Consumer Neuroscience & Neuromarketing,4.7
"Anatomy of the Chest, Abdomen, and Pelvis",4.8
Anatomy: Musculoskeletal and Integumentary Systems,4.9
Ancient Philosophy: Plato & His Predecessors,4.1
Animal Behaviour and Welfare,4.8
Antibiotic Stewardship,4.2
Anticorrupción: Introducción a conceptos y perspectiva práctica,4.9
Applied Data Science Capstone,4.5
Applied Machine Learning in Python,4.5
"Applied Plotting, Charting & Data Representation in Python",4.4
Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),4.9
Arts and Heritage Management,4.8
Astronomy: Exploring Time and Space,4.9
Autism Spectrum Disorder,4.7
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,4.7
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,4.8
Basic Statistics,4.6
Bayesian Statistics: From Concept to Data Analysis,4.4
Bayesian Statistics: Techniques and Models,4.8
Become a CBRS Certified Professional Installer by Google,4.9
Becoming a changemaker: Introduction to Social Innovation,4.3
Behavioral Finance,4.1
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,4.8
"Big Data Essentials: HDFS, MapReduce and Spark RDD",3.4
Big History: Connecting Knowledge,4.8
Biohacking Your Brain's Health,4.7
Biology Meets Programming: Bioinformatics for Beginners,4.2
Blockchain Basics,4.5
"Brand Management: Aligning Business, Brand and Behaviour",4.9
Budgeting and Scheduling Projects,4.8
Bugs 101: Insect-Human Interactions,5.0
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),4.9
Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course),5.0
Building Batch Data Pipelines on GCP,4.4
Building Containerized Applications on AWS,4.4
Building Conversational Experiences with Dialogflow,4.2
Building Modern Python Applications on AWS,5.0
Building Scalable Java Microservices with Spring Boot and Spring Cloud,4.0
Business English: Networking,4.9
Business Metrics for Data-Driven Companies,4.6
Business Model Innovation,4.7
Business Transformation with Google Cloud,4.8
Business Writing,4.8
C for Everyone: Programming Fundamentals,4.6
COVID-19 Contact Tracing For Nursing Professionals,3.9
COVID-19: What You Need to Know (CME Eligible),4.8
"Cameras, Exposure, and Photography",4.7
Camino a la Excelencia en Gestión de Proyectos,4.6
"Capstone: Retrieving, Processing, and Visualizing Data with Python",4.5
Career 911: Your Future Job in Medicine and Healthcare,4.3
Challenging Forensic Science: How Science Should Speak to Court,4.8
Chemicals and Health,4.9
Child Nutrition and Cooking,4.7
Children's Human Rights - An Interdisciplinary Introduction,4.6
Chinese for Beginners,4.8
Classical Sociological Theory,4.9
Claves para Gestionar Personas,4.9
Clinical Terminology for International and U.S. Students,4.8
Code Yourself! An Introduction to Programming,4.8
Communication Strategies for a Virtual Age,4.9
Community Organizing for Social Justice,4.2
"Competencias Laborales: Perfiles, Evaluación y Capacitación.",4.5
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",4.8
Computational Neuroscience,4.6
Computational Thinking for Problem Solving,4.7
Construction Project Management,4.8
Contabilidad para no contadores,4.8
Continuous Delivery & DevOps,4.5
Convolutional Neural Networks,3.9
Convolutional Neural Networks in TensorFlow,4.5
Corporate & Commercial Law I: Contracts & Employment Law,4.8
Corporate Finance Essentials,4.9
Corporate Strategy,4.9
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,4.6
"Corrección, estilo y  variaciones de la lengua española",4.7
Cost and Economics in Pricing Strategy,4.8
Crash Course on Python,4.7
Creative Problem Solving,4.5
Creative Thinking: Techniques and Tools for Success,4.7
Creative Writing: The Craft of Plot,4.7
Cryptocurrency and Blockchain: An Introduction to Digital Currencies,4.5
Cryptography I,4.8
Cultural Competence - Aboriginal Sydney,4.5
Curanderismo: Traditional Healing Using Plants,1.0
Cursos en línea: modelo para armar,5.0
Customer Analytics,4.4
Customer Segmentation and Prospecting,4.8
Cybersecurity Compliance Framework & System Administration,4.5
"Cybersecurity Roles, Processes & Operating System Security",4.5
Data Analysis with Python,4.5
Data Analytics for Lean Six Sigma,4.9
Data Management for Clinical Research,4.8
Data Science Math Skills,4.5
Data Science Methodology,4.3
Data Visualization with Python,4.1
Data-driven Decision Making,4.5
Database Management Essentials,4.5
Databases and SQL for Data Science,4.4
Democracia y decisiones públicas. Introducción al análisis de políticas públicas,4.9
Dentistry 101,4.8
Dermatology: Trip to skin,4.0
Design Thinking for Innovation,4.7
Design Thinking for the Greater Good: Innovation in the Social Sector,4.6
Design and Interpretation of Clinical Trials,4.7
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,4.7
DevOps Culture and Mindset,4.8
Developing Your Musicianship,4.9
Devenir entrepreneur du changement,4.8
Digital Business Models,4.6
Digital Product Management: Modern Fundamentals,4.7
Digital Transformation,4.8
Dino 101: Dinosaur Paleobiology,4.9
Discrete Optimization,4.8
Diversity and inclusion in the workplace,4.7
Dog Emotion and Cognition,4.6
Driving business towards the Sustainable Development Goals,4.9
Drug Commercialization,4.6
Drug Development,4.6
Drug Discovery,4.6
Développement psychologique de l'enfant,5.0
EDIVET: Do you have what it takes to be a veterinarian?,4.7
EMT Foundations,4.8
Ecology: Ecosystem Dynamics and Conservation,4.8
Econometrics: Methods and Applications,4.5
Economics of Money and Banking,5.0
Effective Business Presentations with Powerpoint,4.6
Effective Compliance Programs,4.9
El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,5.0
Elastic Google Cloud Infrastructure: Scaling and Automation,4.6
Electric Industry Operations and Markets,4.8
Embedded Software and Hardware Architecture,4.3
Engineering Health: Introduction to Yoga and Physiology,4.6
Engineering Project Management: Initiating and Planning,4.8
English Composition I,4.5
English for Business and Entrepreneurship,4.9
English for Career Development,4.9
English for Journalism,4.8
Enterprise Architecture,4.5
Entrepreneurship 1: Developing the Opportunity,4.8
Entrepreneurship 2: Launching your Start-Up,4.8
Entrepreneurship Strategy: From Ideation to Exit,1.0
Entreprise et changement climatique,5.0
"Epidemics, Pandemics and Outbreaks",4.7
Epidemiology: The Basic Science of Public Health,4.7
Epigenetic Control of Gene Expression,1.0
Equine Welfare and Management,4.9
Essential Epidemiologic Tools for Public Health Practice,4.7
Essential Google Cloud Infrastructure: Core Services,4.7
Essential Google Cloud Infrastructure: Foundation,4.7
Essentials in Clinical Simulations Across the Health Professions,4.8
Essentials of Global Health,4.9
European Business Law: Understanding the Fundamentals,4.7
Everyday Chinese Medicine,4.7
"Everyday Excel, Part 1",4.8
"Everyday Excel, Part 2",5.0
Everyday Parenting: The ABCs of Child Rearing,4.9
Excel Fundamentals for Data Analysis,4.6
Excel Skills for Business: Advanced,4.7
Excel Skills for Business: Essentials,4.9
Excel Skills for Business: Intermediate I,4.9
Excel Skills for Business: Intermediate II,4.7
Excel aplicado a los negocios (Nivel Avanzado),4.7
"Excel/VBA for Creative Problem Solving, Part 1",4.9
Exploring Renewable Energy Schemes,4.8
Exploring ​and ​Preparing ​your ​Data with BigQuery,4.5
Fashion as Design,4.8
Feminism and Social Justice,4.8
FinTech Law and Policy,4.8
"FinTech: Foundations, Payments, and Regulations",4.6
Finance for Non-Finance Professionals,4.8
Finance for Non-Financial Managers,4.1
Financial Accounting Fundamentals,4.8
Financial Acumen for Non-Financial Managers,4.1
Financial Engineering and Risk Management Part I,4.4
Financial Markets,4.8
Financial Planning for Young Adults,4.3
Financing and Investing in Infrastructure,4.8
Finanzas personales,4.8
Finding Purpose and Meaning In Life: Living for What Matters Most,4.8
First Step Korean,4.9
Food & Beverage Management,4.8
Forensic Accounting and Fraud Examination,4.7
Foundations for Big Data Analysis with SQL,4.8
Foundations of Business Strategy,4.8
Foundations of Data Science: K-Means Clustering in Python,4.7
Foundations of Mindfulness,4.8
Front-End Web Development with React,4.6
Front-End Web UI Frameworks and Tools: Bootstrap 4,4.8
Functional Programming Principles in Scala,4.7
Fundamental Neuroscience for Neuroimaging,4.6
Fundamentals of Engineering Exam Review,4.4
Fundamentals of Finance,3.9
Fundamentals of GIS,4.9
Fundamentals of Graphic Design,4.8
Fundamentals of Immunology: Innate Immunity and B-Cell Function,4.8
Fundamentals of Machine Learning for Healthcare,4.8
Fundamentals of Project Planning and Management,4.8
Fundamentals of Quantitative Modeling,4.6
Fundamentals of Reinforcement Learning,4.7
Fundamentals of Scalable Data Science,4.0
Fundamentals of Visualization with Tableau,4.4
Fundamentos de Excel para Negocios,4.8
Fundamentos de Finanzas Empresariales,4.9
Gamification,4.8
Gender and Sexuality: Diversity and Inclusion in the Workplace,4.7
Geopolitics of Europe,3.8
Gestión Empresarial Exitosa para Pymes,4.9
Gestión de organizaciones efectivas,4.8
Get Interactive: Practical Teaching with Technology,4.8
Getting Started With Music Theory,4.1
Getting Started with AWS Machine Learning,4.4
Getting Started with Azure,4.2
Getting Started with Essay Writing,4.7
Getting Started with Go,4.4
Getting Started with Google Kubernetes Engine,4.2
Getting Started with Google Sheets,4.7
Getting Started with SAS Programming,4.9
Getting started with TensorFlow 2,4.9
Global Diplomacy – Diplomacy in the Modern World,4.6
Global Diplomacy: the United Nations in the World,4.7
Global Energy and Climate Policy,4.7
Global Environmental Management,4.7
Global Financial Markets and Instruments,4.3
Google Cloud Platform Big Data and Machine Learning Fundamentals,4.6
Google Cloud Platform Fundamentals: Core Infrastructure,4.7
Google Cloud Product Fundamentals,4.7
Grammar and Punctuation,4.8
Greek and Roman Mythology,4.8
Greening the Economy: Sustainable Cities,4.6
Guitar for Beginners,4.8
Gut Check: Exploring Your Microbiome,4.8
"HTML, CSS, and Javascript for Web Developers",4.8
Hacia una práctica constructivista en el aula,4.9
Healing with the Arts,4.7
Health Behavior Change: From Evidence to Action,4.9
High Stakes Leadership: Leading in Times of Crisis,4.8
How Google does Machine Learning,4.5
How Things Work: An Introduction to Physics,4.9
How to Manage a Remote Team,5.0
Human Rights for Open Societies,4.8
Hypothesis-Driven Development,4.6
IBM Customer Engagement Specialist Professional Certificate,4.9
IT Security: Defense against the digital dark arts,4.8
Improving Communication Skills,4.7
