,n_enrolled,Level,subject,language,subtitles,price
0,124980.0,Introductory,Education & Teacher Training,English,English,49.0
1,293864.0,Introductory,Computer Science,English,English,49.0
2,2442271.0,Introductory,Computer Science,English,English,90.0
3,129555.0,Intermediate,Data Analysis & Statistics,English,English,199.0
4,81140.0,Introductory,Computer Science,English,English,249.0
5,301793.0,Introductory,Business & Management,English,English,199.0
6,32847.0,Intermediate,Communication,English,English,5.0
7,67073.0,Introductory,Business & Management,English,English,199.0
8,23061.0,Introductory,Health & Safety,English,English,49.0
9,92411.0,Introductory,Business & Management,English,English,99.0
10,66835.0,Introductory,Math,English,English,49.0
11,44711.0,Introductory,Communication,English,English,49.0
12,83398.0,Introductory,Computer Science,English,English,99.0
13,,Introductory,Humanities,English,English,99.0
14,6366.0,Intermediate,Ethics,English,"English, Español, Русский",49.0
15,72767.0,Introductory,Economics & Finance,English,"English, 中文, 中文",199.0
16,528782.0,Introductory,Data Analysis & Statistics,English,English,49.0
17,228809.0,Introductory,Data Analysis & Statistics,English,English,39.0
18,39085.0,Introductory,Food & Nutrition,English,English,49.0
19,103640.0,Advanced,Business & Management,English,English,399.0
20,258006.0,Introductory,Computer Science,English,English,199.0
21,346748.0,Intermediate,Computer Science,English,English,149.0
22,320225.0,Introductory,Humanities,English,English,99.0
23,698950.0,Intermediate,Computer Science,English,English,90.0
24,414181.0,Intermediate,Business & Management,English,English,125.0
25,380167.0,Introductory,Biology & Life Sciences,English,English,99.0
26,392588.0,Introductory,Humanities,English,"Deutsch, English, Español, Português, 中文",99.0
27,276209.0,Introductory,Data Analysis & Statistics,English,English,49.0
28,212453.0,Introductory,Social Sciences,English,English,99.0
29,1103777.0,Introductory,Communication,English,English,99.0
30,406181.0,Introductory,Architecture,English,English,99.0
31,1022489.0,Introductory,Communication,English,English,49.0
32,257600.0,Intermediate,Medicine,English,English,199.0
33,262183.0,Intermediate,Computer Science,English,English,99.0
34,140782.0,Introductory,Humanities,English,English,99.0
35,400169.0,Introductory,Communication,English,"English, Español",40.0
36,110024.0,Introductory,Environmental Studies,English,English,99.0
37,79671.0,Introductory,Business & Management,Español,"English, Español",49.0
38,314586.0,Intermediate,Data Analysis & Statistics,English,English,249.0
39,145011.0,Introductory,Chemistry,English,English,199.0
40,123870.0,Introductory,Art & Culture,English,English,99.0
41,91566.0,Introductory,Social Sciences,English,English,25.0
42,284279.0,Introductory,Computer Science,Español,Español,50.0
43,91983.0,Introductory,Social Sciences,English,English,49.0
44,127353.0,Intermediate,Social Sciences,English,English,99.0
45,87336.0,Introductory,Computer Science,English,English,99.0
46,171258.0,Introductory,Data Analysis & Statistics,English,English,49.0
47,125051.0,Introductory,Humanities,English,English,99.0
48,475614.0,Introductory,Social Sciences,English,English,169.0
49,231131.0,Introductory,Communication,English,"English, Español",99.0
50,57814.0,Introductory,Business & Management,English,English,99.0
51,135859.0,Introductory,Data Analysis & Statistics,English,English,49.0
52,117410.0,Intermediate,Education & Teacher Training,English,"English, Español",70.0
53,80082.0,Introductory,Medicine,English,English,99.0
54,105146.0,Introductory,Education & Teacher Training,English,English,70.0
55,182462.0,Introductory,Language,Italiano,Italiano,49.0
56,53630.0,Introductory,Language,English,"English, 日本語",49.0
57,306787.0,Introductory,Humanities,English,English,49.0
58,95324.0,Introductory,Environmental Studies,English,English,99.0
59,97291.0,Intermediate,Data Analysis & Statistics,English,English,99.0
60,102075.0,Intermediate,Medicine,English,English,99.0
61,88256.0,Introductory,Data Analysis & Statistics,English,English,49.0
62,58626.0,Introductory,Health & Safety,English,English,79.0
63,182295.0,Introductory,Humanities,English,English,99.0
64,642088.0,Introductory,Computer Science,English,English,199.0
65,81221.0,Introductory,Medicine,English,English,99.0
66,48938.0,Introductory,Humanities,English,English,49.0
67,112623.0,Introductory,Communication,Español,Español,49.0
68,88243.0,Intermediate,Business & Management,English,"English, हिन्दी",150.0
69,141966.0,Introductory,Computer Science,English,English,99.0
70,51679.0,Intermediate,Food & Nutrition,English,English,49.0
71,104760.0,Introductory,Business & Management,English,English,69.0
72,74060.0,Introductory,Humanities,English,English,49.0
73,61139.0,Introductory,Humanities,English,English,49.0
74,322701.0,Introductory,Communication,English,English,49.0
75,62803.0,Introductory,Data Analysis & Statistics,English,English,99.0
76,37045.0,Introductory,Computer Science,English,English,200.0
77,84874.0,Introductory,Biology & Life Sciences,English,English,99.0
78,31369.0,Introductory,Business & Management,English,English,49.0
79,75310.0,Introductory,Data Analysis & Statistics,English,English,49.0
80,335895.0,Introductory,Computer Science,English,English,199.0
81,66683.0,Introductory,Data Analysis & Statistics,English,English,49.0
82,98093.0,Introductory,Business & Management,English,English,225.0
83,39540.0,Introductory,Computer Science,English,English,149.0
84,64584.0,Introductory,Data Analysis & Statistics,English,English,49.0
85,187138.0,Intermediate,Engineering,English,English,199.0
86,49340.0,Introductory,Computer Science,English,English,49.0
87,110086.0,Introductory,Humanities,English,English,99.0
88,80161.0,Introductory,Data Analysis & Statistics,English,English,39.0
89,94079.0,Introductory,Data Analysis & Statistics,English,English,39.0
90,111785.0,Intermediate,Computer Science,Español,Español,75.0
