,is_paid,price,num_subscribers,level,content_duration,subject
0,True,200,2147,All Levels,1.5,Business Finance
1,True,75,2792,All Levels,39.0,Business Finance
2,True,45,2174,Intermediate Level,2.5,Business Finance
3,True,95,2451,All Levels,3.0,Business Finance
4,True,200,1276,Intermediate Level,2.0,Business Finance
5,True,150,9221,All Levels,3.0,Business Finance
6,True,65,1540,Beginner Level,1.0,Business Finance
7,True,95,2917,All Levels,2.5,Business Finance
8,True,195,5172,Expert Level,2.5,Business Finance
9,True,200,827,All Levels,1.0,Business Finance
10,True,200,4284,All Levels,5.0,Business Finance
11,True,200,1380,All Levels,1.0,Business Finance
12,True,30,3607,All Levels,1.5,Business Finance
13,True,195,4061,All Levels,2.0,Business Finance
14,True,200,294,All Levels,7.0,Business Finance
15,True,75,2276,Intermediate Level,1.5,Business Finance
16,True,20,4919,Beginner Level,1.5,Business Finance
17,True,200,2666,All Levels,4.0,Business Finance
18,True,50,5354,All Levels,1.5,Business Finance
19,True,95,8095,Beginner Level,0.5833333333333334,Business Finance
20,True,200,809,All Levels,2.0,Business Finance
21,True,200,2295,All Levels,4.0,Business Finance
22,True,75,10149,All Levels,2.0,Business Finance
23,True,50,1916,Beginner Level,1.0,Business Finance
24,True,45,2507,All Levels,2.0,Business Finance
25,True,150,5786,All Levels,5.0,Business Finance
26,True,200,5334,All Levels,4.5,Business Finance
27,True,175,4005,Intermediate Level,2.0,Business Finance
28,True,150,2877,All Levels,4.5,Business Finance
29,True,140,1026,Beginner Level,3.0,Business Finance
30,True,95,1165,Beginner Level,2.5,Business Finance
31,True,200,1843,All Levels,1.5,Business Finance
32,True,45,8797,All Levels,6.5,Business Finance
33,True,200,1030,All Levels,2.0,Business Finance
34,True,200,1041,All Levels,1.5,Business Finance
35,True,195,7884,Intermediate Level,10.0,Business Finance
36,True,195,16900,Beginner Level,5.5,Business Finance
37,True,200,11441,All Levels,4.5,Business Finance
38,True,195,22257,All Levels,7.5,Business Finance
39,True,195,8575,All Levels,5.5,Business Finance
40,True,195,24481,All Levels,10.0,Business Finance
41,True,195,3811,All Levels,6.5,Business Finance
42,True,195,4991,Beginner Level,11.5,Business Finance
43,True,115,7489,Intermediate Level,1.0,Business Finance
44,True,200,20195,All Levels,16.0,Business Finance
45,True,150,10042,All Levels,3.0,Business Finance
46,True,95,367,All Levels,5.0,Business Finance
47,True,200,10603,All Levels,5.5,Business Finance
48,True,190,1197,All Levels,5.0,Business Finance
49,True,150,2893,All Levels,2.0,Business Finance
50,True,200,1580,Expert Level,2.0,Business Finance
51,True,95,10605,All Levels,3.0,Business Finance
52,True,125,2996,Intermediate Level,2.0,Business Finance
53,True,30,6219,All Levels,1.0,Business Finance
54,True,200,1113,All Levels,1.5,Business Finance
55,True,60,8314,Beginner Level,4.0,Business Finance
56,True,200,5572,Beginner Level,5.5,Business Finance
57,True,145,1433,Intermediate Level,1.0,Business Finance
58,True,20,936,Intermediate Level,1.5,Business Finance
59,True,200,658,All Levels,1.0,Business Finance
60,True,105,8121,All Levels,3.5,Business Finance
61,True,60,4187,Beginner Level,9.0,Business Finance
62,True,155,9445,All Levels,4.5,Business Finance
63,True,200,3255,All Levels,8.5,Business Finance
64,True,185,7941,All Levels,6.5,Business Finance
65,True,150,1680,All Levels,5.5,Business Finance
66,True,180,10100,Beginner Level,11.0,Business Finance
67,True,125,5050,All Levels,1.5,Business Finance
68,True,200,2310,All Levels,3.5,Business Finance
69,True,185,5528,All Levels,3.0,Business Finance
70,True,125,6451,All Levels,5.0,Business Finance
71,True,95,12394,Beginner Level,2.5,Business Finance
72,True,200,1793,All Levels,1.0,Business Finance
73,True,20,3223,All Levels,1.0,Business Finance
74,True,60,16385,Beginner Level,3.0,Business Finance
75,True,200,1487,All Levels,2.0,Business Finance
76,True,200,2951,All Levels,4.0,Business Finance
77,True,120,2697,All Levels,1.0,Business Finance
78,True,150,3979,Beginner Level,5.0,Business Finance
79,True,25,3190,All Levels,4.0,Business Finance
80,True,200,1406,Expert Level,1.5,Business Finance
81,True,160,4252,All Levels,2.0,Business Finance
82,True,20,11958,Beginner Level,11.5,Business Finance
83,True,95,7743,Beginner Level,1.5,Business Finance
84,True,50,2134,All Levels,1.0,Business Finance
85,True,200,1214,All Levels,1.5,Business Finance
86,True,20,3870,All Levels,1.0,Business Finance
87,True,200,2146,All Levels,4.5,Business Finance
88,True,195,484,Beginner Level,1.0,Business Finance
89,True,200,1057,All Levels,1.5,Business Finance
90,True,20,1754,Intermediate Level,2.5,Business Finance
91,True,20,1239,Beginner Level,0.7,Business Finance
92,True,95,2493,All Levels,9.5,Business Finance
93,True,150,2602,Beginner Level,5.0,Business Finance
94,True,40,2000,All Levels,1.0,Business Finance
95,False,0,1514,Beginner Level,0.55,Business Finance
